Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
Land and Freedom,1995,Ken Loach,"['Romance', 'Drama', 'War', 'History']",5,3.82,109,"['France', 'Germany', 'Italy', 'Spain', 'UK', 'USA']",English,"['English', 'Catalan', 'Spanish']",10203,3935,2450,"['Ian Hart', 'Rosana Pastor', 'Frédéric Pierrot', 'Icíar Bollaín', 'Tom Gilroy', 'Angela Clarke', 'Eoin McCarthy', 'Suzanne Maddock', 'Jordi Dauder', 'Pep Molina', 'Mandy Walsh', 'Miguel Cabrillana', 'Francesc Orella', 'Daniel Muñoz']","['Road Movies', 'BIM Distribuzione', 'Filmstiftung Nordrhein-Westfalen', 'Diaphana Films', 'Eurimages', 'Road Movies Dritte Produktionen', 'Parallax Pictures', 'Degeto Film', 'BBC', 'Canal+ España', 'Working Title', 'British Screen Productions', 'Messidor Films', 'European Co-production Fund', 'TVE']",https://letterboxd.com//film/land-and-freedom/
Inside,2012,Zeki Demirkubuz,['Drama'],5,3.62,107,['Turkey'],Turkish,['Turkish'],16959,1959,2737,"['Engin Günaydın', 'Nergis Öztürk', 'Serhat Tutumluer', 'Nihal Yalçın', 'Murat Cemcir', 'Feridun Koç', 'Serkan Keskin', 'Sarp Apak', 'Buse Kılıçkaya']",['Mavi Film'],https://letterboxd.com//film/inside-2012/
The Killer,2023,David Fincher,"['Thriller', 'Crime']",3,3.48,118,['USA'],English,"['English', 'Spanish', 'French']",432276,98166,112404,"['Michael Fassbender', 'Tilda Swinton', 'Charles Parnell', 'Arliss Howard', ""Kerry O'Malley"", 'Sophie Charlotte', 'Emiliano Pernia', 'Gabriel Polanco', 'Sala Baker', 'Endre Hules', 'Bernard Bygott', 'Monique Ganderton', 'Daran Norris', 'Nikki Dixon', 'Paloma Palacio Colon', 'Lía Lockhart', 'Arturo Duvergé', 'Génesis Estévez', 'Leroy Edwards III', 'Kellan Rhude', 'Sacha Beaubier', 'Branden Mitch', 'Brandon Morales', 'Kyrstal Ortiz', 'Erik Hellman', 'Carlos Rogelio Diaz', 'Ilyssa Fradin', 'Julia Rowley', 'Jack Kesy', 'Eric Tolzmann', 'Jirus Tillman', 'Kev Morris Sr.', 'Brett C. Johnson', 'Tariq Azikiue', 'Jérôme Keen', 'Stéphane Vasseur', 'François Patissier', 'Dzianis Chpoutalau', 'Cécile Coves', 'Claire Patronikn', 'Lila Espinasse', 'Sara Mezouar', 'Zacharia Mezouar', 'Marie Bessière', 'Nino Viard', 'Antoine Matichard', 'Anna Cosmao', 'Alexandra Holzhammer']",['Netflix'],https://letterboxd.com//film/the-killer-2023/
Barbie,2023,Greta Gerwig,"['Comedy', 'Fantasy', 'Adventure']",4,3.98,114,"['UK', 'USA']",English,['English'],2241546,286082,989986,"['Margot Robbie', 'Ryan Gosling', 'America Ferrera', 'Kate McKinnon', 'Ariana Greenblatt', 'Simu Liu', 'Will Ferrell', 'Michael Cera', 'Helen Mirren', 'Issa Rae', 'Alexandra Shipp', 'Emma Mackey', 'Emerald Fennell', 'Rhea Perlman', 'Hari Nef', 'Kingsley Ben-Adir', 'Ncuti Gatwa', 'Connor Swindells', 'Sharon Rooney', 'Ritu Arya', 'Ana Kayne', 'Nicola Coughlan', 'Dua Lipa', 'John Cena', 'Scott Evans', 'Jamie Demetriou', 'Andrew Leung', 'Will Merrick', 'Zheng Xi Yong', 'Asim Chaudhry', 'Ray Fearon', 'Erica Ford', 'Hannah Khalique-Brown', 'Mette Towley', 'Marisa Abela', 'Lucy Boynton', 'Rob Brydon', 'Tom Stourton', 'Chris Taylor', 'David Mumeni', 'Olivia Brody', 'Isla Ashworth', 'Eire Farrell', 'Daisy Duczmal', 'Genvieve Toussaint', 'Isabella Nightingale', 'Manuela Mora', 'Aida Sexton', 'Ann Roth', 'Millie-Rose Crossley', 'Anvita Nehru', 'Kayla-Mai Alvares', 'Luke Mullen', 'Patrick Luwis', 'Mac Brandt', 'Paul Jurewicz', 'Oraldo Austin', 'Benjamin Arthur', 'Carlos Jacott', 'Adam Ray', 'George Basil', 'Ptolemy Slocum', 'Deb Hiett', 'James Leon', 'Oliver Vaquer', 'Tony Noto', 'Christopher T. Wood', 'Annie Mumolo', 'Elise Gallup', 'McKenna Roberts', 'Brylee Hsu', 'Sasha Milstein', 'Lauren Holt', 'Sterling Jones', 'Ryan Piers Williams', 'Jamaal Lewis', 'Kathryn Akin', 'Grace Jabbari', 'Ira Mandela Siobhan', 'Lisa Spencer', 'Naomi Weijand', 'Tom Clark', 'Ireanne Abenoja', 'Davide Albonetti', 'Charlotte Anderson', 'Michael Anderson', 'Rico Bakker', 'James Bamford', 'William John Banks', 'Callum Bell', 'Adam Blaug', 'Mason Boyce', 'Taylor Bradshaw', 'Alex Brown', 'Miekaile Browne', 'Lewis Calcutt', 'Nikkita Chadha', 'Oliver Chapman', 'Megan Charles', 'Callum Clack', 'Danny Coburn', 'Kat Collings', 'Adam Crossley', 'Sia Dauda', 'Gustave Die', 'Grace Durkin', 'Joelle Dyson', 'Lewis Easter', 'Onyemachi Ejimofor', 'Cameron Everitt', 'Luke Field-Wright', 'Sasha Flesch', 'Adam Fogarty', 'Mikey French', 'Anna-Kay Gayle', 'Charlie Goddard', 'Marlie Goddard', 'Ellis Harman', 'Yasmin Harrison', 'Josh Hawkins', 'James Healy', 'Tim Hodges', 'Mira Jebari', 'Beccy Jones', 'Thomas Kalek', 'Lily Laight', 'Maiya Leeke', 'Cristian Liberti', 'Prodromos Marneros', 'Nahum McLean', 'Jordan Melchor', 'Ramzan Miah', 'Andy Monaghan', 'Florivaldo Mossi', 'Hannah Nazareth', 'Grant Neal', 'Freja Nicole', 'Shaun Niles', 'Ella Nonini', 'Jack William Parry', 'Josie Pocock', 'Barnaby Quarendon', 'Redmand Rance', 'Zara Richards', 'Liam Riddick', 'Alana Rixon', 'Adam Paul Robertson', 'Kingdom Sibanda', 'Sebastian Skov', 'Aaron J. Smith', 'Joshua Smith', 'Lucia-Rose Sokolowski', 'Janine Somcio', 'Callum Sterling', 'Todd Talbot', 'Charles Tatman', 'Grant Thresh', 'Connor Tidman', 'Wahchi Vong', 'Jerry Wan', 'Sasha Wareham', 'Stan West', 'Oliver Wheeler', 'Josh Wild', 'Joe Wolstenholme', 'Richard Womersley', 'Ashley Young', 'Alex Sturman']","['LuckyChap Entertainment', 'Heyday Films', 'NB/GG Pictures', 'Mattel', 'Warner Bros. Pictures']",https://letterboxd.com//film/barbie/
Spider-Man: Across the Spider-Verse,2023,"Joaquim Dos Santos, Justin K. Thompson","['Animation', 'Science Fiction', 'Adventure', 'Action']",3.5,4.49,140,['USA'],English,"['English', 'Hindi', 'Italian', 'Spanish']",1515949,299757,787840,"['Shameik Moore', 'Hailee Steinfeld', 'Jason Schwartzman', 'Oscar Isaac', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson', 'Issa Rae', 'Karan Soni', 'Shea Whigham', 'Greta Lee', 'Amandla Stenberg', 'Jharrel Jerome', 'Andy Samberg', 'Jack Quaid', 'Rachel Dratch', 'Ziggy Marley', 'Jorma Taccone', 'Daniel Kaluuya', 'Mahershala Ali', 'J.K. Simmons', 'Donald Glover', 'Elizabeth Perkins', 'Kathryn Hahn', 'Ayo Edebiri', 'Nicole Delaney', 'Antonina Lentini', 'Atsuko Okatsuka', 'Peter Sohn', 'Melissa Sturm', 'Lorraine Velez', 'Nic Novicki', 'Taran Killam', 'Metro Boomin', 'Josh Keaton', 'Sofia Barclay', 'Danielle Perez', 'Yuri Lowenthal', 'Rita Rani Ahuja', 'Ismail Bashey', 'Oscar Camacho', 'Freddy Ferrari', 'Kerry Gutierrez', 'Kamal Khan', 'Angelo Sekou Kouyate', 'Andrew Leviton', 'David Michie', 'Sumit Naig', 'Juan Pacheco', 'Chrystee Pharris', 'Ben Pronsky', 'Al Rodrigo', 'Stan Sellers', 'Warren Sroka', 'Jasper Johannes Andrews', 'Gredel Berrios Calladine', 'Natalia Castellanos', 'Russell Tyre Francis', 'Deepti Gupta', 'Sohm Kapila', 'Pradnya Kuwadekar', 'Ashley London', 'Christopher Miller', 'Andrea Navedo', 'Lakshmi Patel', 'Jacqueline Pinol', 'Eliyas Qureshi', 'Lashana Rodriguez', 'Jaswant Dev Shrestha', 'Libby Thomas Dickey', 'Jason Linere-White', 'Sitara Attaie', 'Mayuri Bhandari', 'June Christopher', 'Michelle Jubilee Gonzalez', 'Marabina Jaimes', 'Rez Kempton', 'Lex Lang', 'Phil Lord', 'Richard Miro', 'Doug Nicholas', ""Shakira Ja'nai Paye"", 'James Pirri', 'Marley Ralph', 'Michelle Ruff', 'Dennis Singletary', 'Amanda Troop', 'Ruth Zalduondo', 'Kimberly Bailey', 'Sanjay Chandani', 'Melanie Duke', 'Jorge R. Gutierrez', 'Miguel Jiron', 'Deepti Kingra-Mickelsen', 'Luisa Leschin', 'Caitlin McKenna', 'Andrew Morgado', 'Arthur Ortiz', 'Eliana A. Perez', 'Juan Pope', 'Mike Rianda', 'Erika Scopelli', 'Narender Sood', 'Cedric L. Williams', 'Kimiko Glenn', 'Peggy Lu', 'Andrew Garfield', 'Denis Leary', 'Tobey Maguire', 'Cliff Robertson', 'Alfred Molina', 'Post Malone']","['Columbia Pictures', 'Sony Pictures Animation', 'Lord Miller', 'Pascal Pictures', 'Arad Productions']",https://letterboxd.com//film/spider-man-across-the-spider-verse/
Deniz Göktaş: Selam Selam,2023,Tolga Özdemir,['Comedy'],4,3.7,65,['Turkey'],Turkish,['Turkish'],4781,157,860,['Deniz Göktaş'],['TuzBiber Stand-Up'],https://letterboxd.com//film/deniz-goktas-selam-selam/
Guardians of the Galaxy Vol. 3,2023,James Gunn,"['Action', 'Adventure', 'Science Fiction']",3,3.99,150,['USA'],English,['English'],1098090,239429,434299,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista', 'Karen Gillan', 'Pom Klementieff', 'Vin Diesel', 'Bradley Cooper', 'Sean Gunn', 'Chukwudi Iwuji', 'Will Poulter', 'Maria Bakalova', 'Elizabeth Debicki', 'Sylvester Stallone', 'Austin Freeman', 'Stephen Blackehart', 'Terence Rosemore', 'Sarah Alami', 'Jasmine Munoz', 'Giovannie Cruz', 'Nico Santos', 'Miriam Shor', 'Noa Raskin', 'Linda Cardellini', 'Asim Chaudhry', 'Mikaela Hoover', 'Judy Greer', 'Reinaldo Faberlle', 'Tara Strong', 'Jared Leland Gore', 'Michael Rosenbaum', 'Elan Gale', 'Molly C. Quinn', 'Gerardo Davila', 'Dee Bradley Baker', 'Hanna Pak', 'Jennifer Holland', 'Nathan Fillion', 'Kyle Mclean', 'Benjamin Byron Davis', 'Tiffany Smith', 'Joe Daru', 'Daniela Melchior', 'Jonathan Mercedes', 'Jonathan Fritschi', 'Diego Ward', 'Max Bickelhaup', 'Brandon Morales', 'Renae Moneymaker', 'Alexis Hadesty', 'Tara Warren', 'Candi VandiZandi', 'Grecia Balboa', 'Caleb Spillyards', 'Darla Delgado', 'Michelle Civile', 'Ken Lyle', 'Elodie Clarke', 'John William Wright', 'Autumn Griffin', 'Skylar Huntley', 'Randy Havens', 'Dane DiLiegro', 'Kai Zen', 'Sarah Anne', 'Yael Ocasio', 'Adelynn Spoon', 'Henry Heffernan', 'Brooklyn Skye Oliver', 'Scarlett Blum', 'Baby Dro', 'Emery Grilliot', 'Amelia Waters', 'Lloyd Kaufman', 'Seth Green', 'Christopher Fairbank', 'Rhett Miller', 'Natalia Safran', 'Murphy Weed', 'Michael Rooker', 'James Gunn', 'Pete Davidson', 'Jessica Fontaine', 'Karen Abercrombie', 'Gregg Henry', 'Adriana Leonard', 'Bonnie Discepolo', 'Clare Grant', 'Grace Gunn', 'Will Gunn']","['Marvel Studios', 'Kevin Feige Productions']",https://letterboxd.com//film/guardians-of-the-galaxy-vol-3/
Beau Is Afraid,2023,Ari Aster,"['Fantasy', 'Comedy', 'Adventure']",3,3.47,179,"['Finland', 'USA']",English,['English'],324813,95036,91792,"['Joaquin Phoenix', 'Patti LuPone', 'Amy Ryan', 'Nathan Lane', 'Kylie Rogers', 'Denis Ménochet', 'Parker Posey', 'Zoe Lister-Jones', 'Armen Nahapetian', 'Julia Antonelli', 'Stephen McKinley Henderson', 'Richard Kind', 'Hayley Squires', 'Julian Richings', 'Bill Hader', 'Alicia Rosario', 'James Cvetkovski', 'Catherine Bérubé', 'Stephanie Herrera', 'Bradley Fisher', 'Peter Seaborne', 'Michael Esper', 'Manuel Tadros', 'Karl Roy', 'Marc-André Brisebois', 'Tyrone Benskin', 'Ernest-James Chuipka', 'Archie Madekwe', 'Greg Halpin', 'Luis Oliva', 'Charles Hardy', 'Marie-Michelle Garon', 'Maev Beaty', 'Patrick Kwok-Choon', 'Michael Gandolfini', 'Théodore Pellerin', 'Mike Taylor', 'Luke Alexander James McPhail', 'Ryan S. Hill', 'Bentley Hughes', 'Kwasi Songui', 'Sylvain Landry', 'Tristan D. Lalla', 'Emmanuel Schwartz', 'Cat Lemieux', 'Lily Bird', 'Arthur Holden', 'François Paquette', 'Alex Bisping', 'Lucas Gosselin', 'Joe Cobden', 'Harry Strandjofski', 'Anana Rydvald', 'Isabelle Brabant', 'Tarah Schwartz', 'Barry Morgan', 'David Mamet', 'John Walsh', 'Karim Bourara', 'Lee Villeneuve', 'Steve Newburn', 'Kayla Dobilas', 'Gord Robertson', 'Pamela Iveta', 'Jason Detheridge', 'Luz Tercero', 'Geneviève Marin', 'Julien Fortin', 'Marc-André Casavant']","['A24', 'Square Peg', 'IPR.VC', 'Access Entertainment', 'MW Industries']",https://letterboxd.com//film/beau-is-afraid/
65,2023,"Scott Beck, Bryan Woods","['Adventure', 'Action', 'Science Fiction']",2,2.15,92,"['Canada', 'USA']",English,['English'],139625,34144,14802,"['Adam Driver', 'Ariana Greenblatt', 'Chloe Coleman', 'Nika King', 'Brian Dare']","['Raimi Productions', 'Beck/Woods', 'Bron Studios', 'Columbia Pictures', 'TSG Entertainment']",https://letterboxd.com//film/65/
Infinity Pool,2023,Brandon Cronenberg,"['Science Fiction', 'Horror', 'Thriller']",3.5,3.18,118,"['Canada', 'France', 'Hungary', 'USA']",English,['English'],260394,70035,59026,"['Alexander Skarsgård', 'Mia Goth', 'Cleopatra Coleman', 'Jalil Lespert', 'Amanda Brugel', 'John Ralston', 'Jeff Ricketts', 'Caroline Boulton', 'Thomas Kretschmann', 'Roderick Hill', 'Adam Boncz', 'Alan Katić', 'Alexandra Tóth', 'Dunja Sepčić Bogner', 'Zijad Gračić', 'Amar Bukvić', 'Katalin Lábán', 'Kamilla Fátyol', 'Lena Juka Stambuk', 'Kristóf Kovács', 'Romina Tonković', 'Hajnalka Zsigár', 'Anita Major', 'Gergely Trócsányi', 'Géza Kovács']","['Topic Studios', 'Elevation Pictures', 'Film Forge Productions', 'Hero Squared', 'Celluloid Dreams', 'NEON', 'Téléfilm Canada', 'Eurimages']",https://letterboxd.com//film/infinity-pool/
