Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
Miles from Home,1988,Gary Sinise,"['Crime', 'Drama', 'Action']",nan,3.19,108,['USA'],English,['English'],402,274,36,"['Richard Gere', 'Kevin Anderson', 'Penelope Ann Miller', 'Terry Kinney', 'Helen Hunt', 'Judith Ivey', 'Laurie Metcalf', 'John Malkovich', 'Brian Dennehy', 'Francis Guinan', 'Robert Brueler', 'Randall Arney', 'Jo Anderson', 'Jason Campbell']","['J&M Entertainment', 'Braveworld Productions', 'Cinecom Pictures']",https://letterboxd.com//film/miles-from-home/
The Cannibals,1988,Manoel de Oliveira,"['Drama', 'Fantasy']",nan,3.61,95,"['Germany', 'France', 'Italy', 'Portugal', 'Switzerland']",Portuguese,['Portuguese'],773,868,183,"['Luís Miguel Cintra', 'Leonor Silveira', 'Diogo Dória', 'Oliveira Lopes', 'Pedro T. da Silva', 'Joel Costa', 'Rogério Samora', 'Rogério Vieira', 'António Loja Neves', 'Luís Madureira', 'Teresa Côrte-Real', 'José Manuel Mendes', 'Cândido Ferreira', 'Glória de Matos', 'Sofia Alves', 'Filomena Amaro']","['Filmargem', 'Gemini Films', 'La Sept Cinéma']",https://letterboxd.com//film/the-cannibals/
Pascali's Island,1988,James Dearden,['Drama'],nan,3.39,104,['UK'],English,['English'],498,343,75,"['Ben Kingsley', 'Charles Dance', 'Helen Mirren', 'Kevork Malikyan', 'Nadim Sawalha', 'T. P. McKenna', 'Giorgos Oikonomou', 'Vernon Dobtcheff', 'George Murcell', 'Stefan Gryff', 'Sheila Allen', 'Nick Burnell', 'Brook Williams', 'Kostis Savvidakis']","['Dearfilm', 'Film4 Productions']",https://letterboxd.com//film/pascalis-island/
Patty Hearst,1988,Paul Schrader,['Drama'],nan,3.34,108,"['UK', 'USA']",English,['English'],5114,2559,970,"['Natasha Richardson', 'William Forsythe', 'Ving Rhames', 'Frances Fisher', 'Jodi Long', 'Olivia Barash', 'Dana Delany', 'Marek Johnson', 'Kitty Swink', 'Peter Kowanko', 'Marta Kober', 'Steven Reisch', 'Jeff Imada', 'Toni Attell', 'Marc Siegler', 'Hawthorne James', 'Jim Ward', 'Erich Anderson', 'James Bolt', 'Anne Cooper']",['Atlantic Entertainment Group'],https://letterboxd.com//film/patty-hearst/
Pelle the Conqueror,1987,Bille August,['Drama'],nan,3.83,157,"['Denmark', 'Sweden']",Danish,"['Danish', 'Swedish']",6270,5712,915,"['Pelle Hvenegaard', 'Max von Sydow', 'Erik Paaske', 'Björn Granath', 'Astrid Villaume', 'Axel Strøbye', 'Troels Asmussen', 'Kristina Törnqvist', 'Karen Wegener', 'Sofie Gråbøl', 'Lars Simonsen', 'Buster Larsen', 'John Wittig', 'Troels Munk', 'Nis Bank-Mikkelsen', 'Lena-Pia Bernhardsson', 'Anna Lise Hirsch Bjerrum', 'Morten Jørgensen', 'Erik Frisberg', 'Wilhelm Weber', 'Henrik Hansen', 'Thyge Andersen', 'Benjamin Holck Henriksen', 'Daniel Roosen', 'Thure Lindhardt', 'Mogens Dester', 'Finn Knygberg', 'Jørgen Hansen', 'Finn Olsen', 'Merete Holst Hansen', 'Tine Stochholm', 'Inge Marie From', 'Jytte Strandberg', 'Nina Christoffersen', 'Lone Svendsen', 'Birte Jensen', 'Henning Franck Hansen', 'Lars Petersen', 'Espen Hegnet Knudsen', 'Jeppe Nicolaisen', 'Oliver Grumme', 'David Heilmann', 'Thomas Bryde Hansen', 'Karen Bjørkøe', 'Sascha Lystrup Andersen', 'Rikke Hacke', 'Henriette Nielsen', 'Henriette Nolsøe', 'Ingeborg Holten']","['SF Studios', 'Per Holst Filmproduktion', 'Svenska Filminstitutet', 'Det Danske Filminstitut']",https://letterboxd.com//film/pelle-the-conqueror/
The South,1988,Fernando E. Solanas,"['Drama', 'Music']",nan,3.78,127,"['Argentina', 'France']",Spanish,"['Spanish', 'French']",1718,1461,556,"['Miguel Ángel Solá', 'Philippe Léotard', 'Lito Cruz', 'Roberto Goyeneche', 'Ulises Dumont', 'Gabriela Toscano', 'Mario Lozano', 'Nathán Pinzón', 'Antonio Ameijeiras', 'Inés Molina', 'Fito Páez', 'Niní Gambier', 'Chany Mallo', 'Susana Mayo', 'Manuel Vicente', 'Fernando Siro', 'Susú Pecoraro', 'Mauricio Kartun', 'Néstor Marconi', 'Ricardo Alanis', 'Giancarlo Arena', 'Paulino Andrada', 'Carlos Olivieri', 'Virginia Innocenti']","['Pacific Productions', 'Cinesur', 'Canal+']",https://letterboxd.com//film/the-south/
The Navigator: A Medieval Odyssey,1988,Vincent Ward,"['Fantasy', 'Mystery', 'Action', 'Adventure']",nan,3.42,92,"['Australia', 'New Zealand']",English,['English'],3336,3134,636,"['Bruce Lyons', 'Chris Haywood', 'Hamish McFarlane', 'Marshall Napier', 'Noel Appleby', 'Paul Livingston', 'Sarah Peirse', 'Mark Wheatley', 'Tony Herbert', 'Jessica Cardiff-Smith', 'Roy Wesney', 'Kathleen-Elizabeth Kelly', 'Jay Saussey', 'Charles Walker', 'Desmond Kelly', 'Bill Le Marquand', ""Jay Laga'aia"", 'Norman Fairley', 'Alistair Babbage']","['Arenafilm', 'Film Investment Corporation of New Zealand', 'The Australian Film Commission', 'New Zealand Film Commission']",https://letterboxd.com//film/the-navigator-a-medieval-odyssey/
Love and Fear,1988,Margarethe von Trotta,"['Drama', 'Romance']",nan,nan,112,"['France', 'Germany', 'Italy']",Italian,['Italian'],53,280,9,"['Fanny Ardant', 'Greta Scacchi', 'Valeria Golino', 'Peter Simonischek', 'Sergio Castellitto', 'Agnès Soral', 'Paolo Hendel', 'Ralph Schicha', 'Gila von Weitershausen']",['Neue Bioskop Film'],https://letterboxd.com//film/love-and-fear/
The Passenger – Welcome to Germany,1988,Thomas Brasch,['Drama'],nan,nan,98,"['Germany', 'Switzerland', 'UK']",German,"['German', 'English']",75,160,15,"['Tony Curtis', 'Katharina Thalbach', 'Matthias Habich', 'Alexandra Stewart', 'Karin Baal', 'Charles Regnier', 'George Tabori', 'Gedeon Burkhard', 'Peter Lohmeyer', 'Irm Hermann', 'Leslie Malton', 'Harry Baer', 'Anna Thalbach', 'Michael Morris', 'Ursula Andermatt', 'Guntbert Warns', 'Fritz Marquardt', 'Birol Ünel', 'Nina Lorck-Schierning', 'Markus Völlenklee', 'Klaus Pohl', 'George Kranz', 'Walter Schmidinger', 'Jürgen Flimm', 'Eva Ebner', 'Beatrice Manowski', 'Ilona Schulz']","['Von Vietinghoff Filmproduktion (VVF)', 'George Reinhart Productions', 'ZDF', 'Road Movies', 'Film4 Productions']",https://letterboxd.com//film/the-passenger-welcome-to-germany/
Aria,1987,"Jean-Luc Godard, Bruce Beresford","['Drama', 'Music', 'Comedy']",nan,3.08,96,['UK'],English,"['English', 'French', 'German', 'Italian']",3303,2758,448,"['John Hurt', 'Theresa Russell', 'Sophie Ward', 'Buck Henry', ""Beverly D'Angelo"", 'Anita Morris', 'Gary Kasper', 'Elizabeth Hurley', 'Peter Birch', 'Bridget Fonda', 'James Mathers', 'Tilda Swinton', 'Stephanie Lane', 'Roy Hyatt', 'Sevilla Delofski', 'Ruth Halliday', 'Arthur Cox', 'Dennis Holmes', 'Paul Brightwell', 'Frank Baker', 'Christopher Hunter', 'Nicola Swain', 'Jackson Kyle', 'Marianne McLoughlin', 'Marion Peterson', 'Valérie Allain', 'Jaques Neuville', 'Luke Corre', 'Christiam Cauchon', 'Philippe Pellant', 'Patrice Linguet', 'Lionel Sorin', 'Jean Coffinet', 'Alexandre Des Granges', 'Gérard Vivès', 'Frederick Brosse', 'Pascal Bermont', 'Jean Luc Corre', 'Bernard Gaudray', 'Dominique Mano', 'Patrice Tridian', 'John Hostetter', 'Albie Selznick', 'Stan Mazin', 'Dominic Salinero', 'Jeff Calhoun', 'Angie Tetamontie', 'Esther Buchanan', 'Lorraine Cote', 'Renee Korn', 'Bertha Weiss', 'Dyanne Thorne', 'Howie Maurer', 'Derick Coleman', 'Quentin Brown', 'Linzi Drew', 'Andreas Wisniewski', 'Kwabena Manso', 'Bella Enahoro', 'Bunty Mathias', 'Angela Walker', 'Amy Johnson', 'Spencer Leigh']","['The Orchard', 'Lightyear Entertainment', 'R.V.P. Productions', 'Virgin Vision']",https://letterboxd.com//film/aria/
The Last Manuscript,1987,Károly Makk,nan,nan,nan,107,[],Hungarian,['Hungarian'],4,85,2,"['Jozef Kroner', 'Aleksander Bardini', 'Eszter Nagy-Kálózy', 'Irén Psota', 'Béla Both', 'Hédi Váradi']",[],https://letterboxd.com//film/the-last-manuscript/
Barfly,1987,Barbet Schroeder,"['Drama', 'Romance', 'Comedy']",4,3.54,100,['USA'],English,['English'],17728,6131,3747,"['Mickey Rourke', 'Faye Dunaway', 'Alice Krige', 'Jack Nance', 'J.C. Quinn', 'Frank Stallone Jr.', 'Sandy Martin', 'Roberta Bassin', 'Gloria LeRoy', 'Joe Unger', 'Harry Cohn', 'Pruitt Taylor Vince', 'Joe Rice', ""Julie 'Sunny' Pearson"", 'Donald L. Norden', 'Wil Albert', 'Hal Shafer', 'Zeke Manners', 'Pearl Shear', 'Rik Colitti', 'Michael Collins', 'Ronald G. Joseph', 'Damon Hines', 'Lahmard J. Tate', 'Gary Carlos Cervantes', 'Peter Conti', 'Vance Colvig', 'Stacey Pickren', 'Leonard Termo', 'Gary Cox', 'Fritz Feld', 'Albert Henderson', 'Sandy Rose', 'Madalyn Carol', 'George Marshall Ruge', 'Debbie Lynn Ross', 'Charles Bukowski']","['Golan-Globus Productions', 'Cannon Group', 'American Zoetrope']",https://letterboxd.com//film/barfly/
Field of Honor,1987,Jean-Pierre Denis,"['History', 'War', 'Drama']",nan,nan,87,['France'],French,"['French', 'German']",22,119,5,"['Pascale Rocard', 'Cris Campion', 'Éric Wapler', 'Frederic Mayer']",[],https://letterboxd.com//film/field-of-honor-1987/
Chronicle of a Death Foretold,1987,Francesco Rosi,"['Drama', 'Crime', 'Thriller']",nan,3.16,109,"['Italy', 'France', 'Colombia']",Italian,['Italian'],743,431,65,"['Rupert Everett', 'Ornella Muti', 'Gian Maria Volonté', 'Lucía Bosè', 'Anthony Delon', 'Alain Cuny', 'Sergi Mateu', 'Vicky Hernández', 'Caroline Lang', 'Carolina Rosi', 'Silverio Blasi', 'Carlos Miranda', 'Rogerio Miranda', 'Leonor Gonzales', 'Edgardo Román', 'Irene Papas', 'Lucy Martínez']","['Les Films Ariane', 'France 3 Cinéma', 'Italmedia Film', 'Soprofilms', 'RAI']",https://letterboxd.com//film/chronicle-of-a-death-foretold/
