Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
Club Zero,2023,Jessica Hausner,"['Drama', 'Thriller']",nan,3.03,110,"['Austria', 'Denmark', 'France', 'Germany', 'Turkey', 'UK']",English,['English'],4866,2771,682,"['Mia Wasikowska', 'Sidse Babett Knudsen', 'Amir El-Masry', 'Elsa Zylberstein', 'Mathieu Demy', 'Ksenia Devriendt', 'Luke Barker', 'Florence Baker', 'Samuel D Anderson', 'Gwen Currant', 'Amanda Lawrence', 'Sam Hoare', 'Camilla Rutherford', 'Keeley Forsyth', 'Lukas Turtur', 'Isabel Lamers', 'Andrei Hozoc', ""Laoisha O'Callaghan"", 'Sade McNichols-Thomas', 'Szandra Asztalos', 'Rebecca Crankshaw']","['Coop 99 Filmproduktion', 'Essential Filmproduktion', 'Coproduction Office', 'Société Parisienne de Production', 'Paloma Productions', 'Club Zero Ltd.', 'BBC Film']",https://letterboxd.com//film/club-zero/
The Zone of Interest,2023,Jonathan Glazer,"['Drama', 'War']",nan,4.06,105,"['Poland', 'UK', 'USA']",English,"['English', 'Polish', 'German', 'Yiddish']",12916,18228,4087,"['Christian Friedel', 'Sandra Hüller', 'Medusa Knopf', 'Daniel Holzberg', 'Ralph Herforth', 'Maximilian Beck', 'Sascha Maaz', 'Wolfgang Lampl', 'Johann Karthaus', 'Freya Kreutzkam', 'Lilli Falk', 'Nele Ahrensmeier', 'Stephanie Petrowitz', 'Marie Rosa Tietjen']","['A24', 'Film4 Productions', 'Access Entertainment', 'PISF', 'JW Films', 'Extreme Emotions']",https://letterboxd.com//film/the-zone-of-interest/
Fallen Leaves,2023,Aki Kaurismäki,"['Romance', 'Drama', 'Comedy']",4,3.83,81,"['Finland', 'Germany']",Finnish,"['Finnish', 'Arabic']",33615,13205,11643,"['Alma Pöysti', 'Jussi Vatanen', 'Janne Hyytiäinen', 'Nuppu Koivu', 'Alina Tomnikov', 'Martti Suosalo', 'Matti Onnismaa', 'Sakari Kuosmanen', 'Simon Al-Bazoon', 'Maria Heiskanen', 'Sherwan Haji', 'Mia Snellman', 'Eero Ritala', 'Mikko Mykkänen', 'Aapo Penttilä', 'Mitja Tuurala', 'Leo Laitinen', 'Jaakko Ranta', 'Heikki Rautiainen', 'Viljami Penttilä', 'Jari Tuomola', 'Lauri Untamo', 'Erkki Astala', 'Jukka Salmi', 'Jaska Väre', 'Misha Jaari', 'Olli Varja', 'Jukka Rautiainen', 'Paula Oinonen', 'Kaisa Karjalainen', 'Anna Karjalainen', 'Alma-koira', 'Juho Kuosmanen', 'Eeva-Riitta Salmelin']","['Sputnik', 'Bufo', 'Pandora Film']",https://letterboxd.com//film/fallen-leaves-2023/
Four Daughters,2023,Kaouther Ben Hania,"['Drama', 'Documentary']",nan,3.9,107,"['France', 'Germany', 'Saudi Arabia', 'Tunisia']",Arabic,['Arabic'],5576,3703,1834,"['Hend Sabry', 'Nour Karoui', 'Ichraq Matar', 'Majd Mastoura', 'Olfa Hamrouni', 'Eya Chikahoui', 'Tayssir Chikhaoui']","['Tanit Films', 'Cinétéléfilms', 'Twenty Twenty Vision Filmproduktion', 'Red Sea Fund', 'ZDF/Arte']",https://letterboxd.com//film/four-daughters-2023/
Asteroid City,2023,Wes Anderson,"['Drama', 'Comedy']",3.5,3.57,105,['USA'],English,['English'],620735,148041,192421,"['Jason Schwartzman', 'Scarlett Johansson', 'Tom Hanks', 'Jeffrey Wright', 'Tilda Swinton', 'Bryan Cranston', 'Edward Norton', 'Adrien Brody', 'Liev Schreiber', 'Hope Davis', 'Steve Park', 'Rupert Friend', 'Maya Hawke', 'Steve Carell', 'Matt Dillon', 'Willem Dafoe', 'Tony Revolori', 'Jake Ryan', 'Grace Edwards', 'Aristou Meehan', 'Sophia Lillis', 'Ethan Josh Lee', 'Ella Faris', 'Gracie Faris', 'Willan Faris', 'Deanna Dunagan', 'Vandi Clark', 'Pedro Placer', 'Iván López', 'Aaron Ziobrowski', 'Celia Bermejo', 'Zoe Bernard', 'Brayden Frasure', 'Preston Mota', 'Kyleigh Fuller', 'Henry Rhoades', 'Jack Eyman', 'Willa Skye', 'Annalise Mackulin', 'Calhoun Metcalf', 'Seu Jorge', 'Jarvis Cocker', 'Pere Mallén', ""Jean-Yves Lozac'h"", 'Damien Bonnard', 'Ramón Ródenas', 'Wendy Nottingham', 'Bob Balaban', 'Fisher Stevens', 'Mike Maggart', 'Elvira Arce', 'Nicolas Avinée', 'Mohamed Belhadjine', 'Katy Heffernan-Smith', 'Jeff Goldblum', 'Hong Chau', 'Paul Kynman', 'Sam Marra', 'Rita Wilson', 'Ara Hollyday', 'Kenneth Bate', 'Christian Bate', 'Margot Robbie', 'Sandy Hamilton', 'Roberto Moreno de Matias', 'Francisco Serrano', 'Francisco Javier Gomez', 'Jacinto Domingo Torija', 'Alvaro Olivas Marques', 'Dominique Fouassier', 'Pablo Amoros', 'Yann Tremblay', 'Sébastien Fouassier', 'Carlos Arimón', 'Antonio Graziano', 'Nuria Gigorro', 'Raquel Jiménez Martinez', 'Jorge Francisco Mena Garcia', 'Ana Isabel Comendador Martínez', 'Carlos Saez', 'Karine Niederman', 'Jesús Olivas Santos', 'Jose Luis Figueroa', 'Pascale Coppola', 'Matilda Clarke', 'Milagros Ahijon', 'Paula Domingo', 'Crístian García Jiménez', 'Junior Harris', 'Robert Tattam', 'Eusebio Mateo Diaz', 'Stéphane Bak', 'Tom Hudson', 'Rodolphe Pauly', 'Aimee Mullins', 'Valérie Sadoun', 'Erica Dorn', 'Julia Kruger', 'Anisse Elias', 'Rebecca Cornford', 'Avery Looser', 'Guy Trevellyan', 'Truman Hanks', 'Honor Northridge', 'Eliel Ford', 'Caris Yeoman', 'Yann Pozzoli', 'Sonia Gascón', 'Mariam Huélamo', 'Timothy Cordukes', 'Carmen Méndez', 'Ainhoa Aldanondo', 'Marta Rubio', 'Marcos Pereiro', 'Susana Hornos', 'Alicia San Lorenzo', 'Palmira Ferrer', 'Jose Antonio Turiégano Carrasco', 'Pilar Ramírez Escalona', 'Virginia Romano Álvarez', 'Milagros Reyeros Ruiz', 'Jonatan Buitrago Díaz', 'Ricardo Mohedas Tiñana', 'Carlos Arroyo', 'Ismael González Carrasco', 'Celedonio Guijarro Cano', 'Juan Abad Molina', 'Patricia Colin', 'Elena Uriz', 'Jose Segovia Ortiz', 'Enrique Ruiz Granado', 'Juan Carlos Iglesias Gómez', 'Oscar Minguez Garcia-Patron', 'Guillermo García', 'David Navarro Romero', 'Javier Gigorro de las Peñas', 'Alejandro García Aparicio', 'Diego Maldonado Davila', 'David Rodríguez Moreno', 'Mario Perez Lomas', 'Alejandro Urbina Escalona', 'David Verdejo Escribano', 'Adrián Corpa Fernández', 'Jesús Jiménez Caler', 'Francisco Corrales Rubio', 'Sergio Martinez Martinez', 'Félix Israel Pinilla de la Guia', 'Jay Lau', 'Mario Turiégano Delgado', 'Pedro Padilla Perez', 'Randall Poster', 'Matthew Frasure', 'Chris Faris', 'Erika Godwin', 'Sara Greisberg', 'Manuela Martinez Zafra', 'Juana Andueza']","['American Empirical Pictures', 'Indian Paintbrush', 'Universal Pictures']",https://letterboxd.com//film/asteroid-city/
Anatomy of a Fall,2023,Justine Triet,"['Thriller', 'Mystery', 'Drama', 'Crime']",4.5,4.18,152,['France'],French,"['French', 'German', 'English']",138004,47503,49814,"['Sandra Hüller', 'Swann Arlaud', 'Milo Machado-Graner', 'Antoine Reinartz', 'Saadia Bentaïeb', 'Jehnny Beth', 'Samuel Theis', 'Camille Rutherford', 'Anne Rotger', 'Sophie Fillières', 'Arthur Harari', 'Pierre-François Garel', 'Savannah Rol']","['Les Films de Pierre', 'Les Films Pelléas', 'France 2 Cinéma', 'Auvergne-Rhône-Alpes Cinéma', 'Canal+', 'Ciné+', 'France Télévisions', 'CNC', 'Région Nouvelle-Aquitaine', 'Région Auvergne-Rhône-Alpes', 'ARTE/Cofinova 18', 'Le Pacte', 'Cinémage 16']",https://letterboxd.com//film/anatomy-of-a-fall/
Monster,2023,Hirokazu Kore-eda,"['Thriller', 'Drama']",nan,4.18,125,['Japan'],Japanese,['Japanese'],25457,13246,11172,"['Sakura Ando', 'Eita Nagayama', 'Soya Kurokawa', 'Hinata Hiiragi', 'Yuko Tanaka', 'Mitsuki Takahata', 'Akihiro Kakuta', 'Shido Nakamura']","['TOHO', 'Fuji Television Network', 'AOI Pro.', 'BUN-BUKU', 'GAGA Corporation']",https://letterboxd.com//film/monster-2023/
A Brighter Tomorrow,2023,Nanni Moretti,['Comedy'],3,3.45,96,"['France', 'Italy']",Italian,"['Italian', 'English', 'French', 'Korean', 'Hungarian']",14390,3463,3921,"['Nanni Moretti', 'Margherita Buy', 'Silvio Orlando', 'Barbora Bobuľová', 'Mathieu Amalric', 'Jerzy Stuhr', 'Anger Zsolt', 'Teco Celio', 'Valentina Romani', 'Flavio Furno', 'Giuseppe Scoditti', 'Valerio Da Silva', 'Angelo Galdi', 'Arianna Pozzoli', 'Francesco Brandi', 'Laura Nardi', 'Arianna Serrao', 'Blu Yoshimi', 'Michele Eburnea', 'Elena Lietti', 'Benjamin Stender', 'Francesco Rossini', 'Federica Sandrini', 'Carolina Pavone', 'Corrado Augias', 'Renzo Piano', 'Chiara Valerio', 'Enrico Cerretti', 'Simone Proietti', 'Giulia Lazzarini', 'Alba Rohrwacher', 'Jasmine Trinca', 'Lina Sastri', 'Anna Bonaiuto', 'Renato Carpentieri', 'Dario Cantarelli', 'Rosario Lisma', 'Beniamino Marcone', 'Fabio Traversa', 'Mariella Valentini', 'Elio De Capitani', 'Claudio Morganti', 'Gigio Morra', 'Silvia Nono']","['Sacher Film', 'Fandango', 'RAI Cinema', 'Le Pacte', 'France 3 Cinéma', 'Canal+', 'Ciné+', 'France Télévisions', 'Kinology']",https://letterboxd.com//film/a-brighter-tomorrow-2023/
Last Summer,2023,Catherine Breillat,['Drama'],nan,3.27,104,"['France', 'Norway']",French,['French'],5213,3018,968,"['Léa Drucker', 'Samuel Kircher', 'Olivier Rabourdin', 'Clotilde Courau', 'Serena Hu', 'Angela Chen', 'Karim Achoui', 'Lila-Rose Gilberti', 'Valérie Schlumberger', 'Jérôme Kircher']","['SBS Productions', 'Globalgate Entertainment', 'Nordisk Film Norway']",https://letterboxd.com//film/last-summer-2023/
About Dry Grasses,2023,Nuri Bilge Ceylan,['Drama'],nan,3.91,197,"['France', 'Germany', 'Sweden', 'Turkey']",Turkish,['Turkish'],19266,6390,5175,"['Deniz Celiloğlu', 'Merve Dizdar', 'Musab Ekici', 'Ece Bağcı', 'Erdem Şenocak', 'Yüksel Aksu', 'Münir Can Cindoruk', 'Onur Berk Arslanoğlu', 'Yıldırım Gücük', 'Cengiz Bozkurt', 'S. Emrah Özdemir', 'Elif Ürse', 'Elit Andaç Çam', 'Nalan Kuruçim', 'Ferhat Akgün', 'Eylem Canpolat']","['NBC Film', 'Memento Films Production', 'Komplizen Film', 'Second Land', 'Film i Väst', 'ARTE France Cinéma', 'BR', 'Playtime', 'TRT Sinema']",https://letterboxd.com//film/about-dry-grasses/
La Chimera,2023,Alice Rohrwacher,"['Adventure', 'Drama', 'Fantasy']",4.5,3.9,133,"['France', 'Italy', 'Switzerland']",Italian,"['Italian', 'English']",13987,8333,5740,"[""Josh O'Connor"", 'Isabella Rossellini', 'Alba Rohrwacher', 'Carol Duarte', 'Vincenzo Nemolato', 'Lou Roy-Lecollinet', 'Gian Piero Capretto', 'Ramona Fiorini', 'Luca Gargiullo', 'Giuliano Mantovani', 'Melchiorre Pala', 'Yle Vianello', 'Carlo Tarmati', 'Barbara Chiesa', 'Elisabetta Perotto', 'Chiara Pazzaglia', 'Francesca Carrain']","['Tempesta', 'Ad Vitam Production', 'ARTE', 'RAI Cinema', 'Canal+', 'Ciné+', 'MiC', 'CNC', 'Turkish Radio & Television', 'Amka Films', 'RSI', 'ARTE France Cinéma']",https://letterboxd.com//film/la-chimera/
The Taste of Things,2023,Tran Anh Hung,"['Romance', 'Drama']",nan,3.84,135,"['Belgium', 'France']",French,['French'],8566,7514,2857,"['Juliette Binoche', 'Benoît Magimel', ""Patrick d'Assumçao"", 'Emmanuel Salinger', 'Jan Hammenecker', 'Frédéric Fisbach', 'Galatéa Bellugi', 'Pierre Gagnaire', 'Bonnie Chagneau-Ravoire', 'Yannik Landrein', 'Sarah Adler', 'Jean-Marc Roulot']","['Curiosa Films', 'France 2 Cinéma', 'uMedia', 'Gaumont']",https://letterboxd.com//film/the-taste-of-things/
Kidnapped,2023,Marco Bellocchio,"['History', 'Drama']",3,3.49,134,"['France', 'Germany', 'Italy']",Italian,"['Italian', 'Hebrew (modern)', 'Latin']",8638,3162,1764,"['Enea Sala', 'Leonardo Maltese', 'Paolo Pierobon', 'Fausto Russo Alesi', 'Barbara Ronchi', 'Andrea Gherpelli', 'Samuele Teneggi', 'Corrado Invernizzi', 'Filippo Timi', 'Fabrizio Gifuni', 'Paolo Calabresi', 'Aurora Camatti', 'Bruno Cariello', 'Walter Lippa', 'Alessandro Bandini', 'Leonardo Bianconi', 'Daniele Aldrovandi', 'Fabrizio Contri', 'Giustiniano Alpi', 'Orfeo Orlando', 'Federica Fracassi', 'Giulia Quadrelli', 'Renato Sarti', 'Flavia Baiku', 'Tonino Tosto', 'Christian Mudu', 'Riccardo Bandiera']","['IBC MOvie', 'Kavac Film', 'Ad Vitam Production', 'The Match Factory', 'RAI Cinema']",https://letterboxd.com//film/kidnapped-2023/
May December,2023,Todd Haynes,"['Drama', 'Comedy']",4,3.93,117,['USA'],English,"['English', 'Italian']",165407,47494,51466,"['Natalie Portman', 'Julianne Moore', 'Chris Tenzis', 'Charles Melton', 'Andrea Frankle', 'Gabriel Chung', 'Mikenzie Taylor', 'Elizabeth Yu', 'Piper Curda', 'Cory Michael Smith', 'D.W. Moffett', 'Kelvin Han Yee', 'Joan Reilly', 'Mike Lopez', 'Jocelyn Shelfo', 'Charles Green', 'Christopher Nguyen', 'Lawrence Arancio', 'Julie Ivey', 'Drew Scheid', 'Fatou Jackson', 'Hans Obma', 'Allie McCulloch', 'Evan Zhu', 'Hailey Wist', 'James R Williams', 'Hope Regina McElveen', 'Derrick Butler', 'Rocky Davis', 'Adam Woods']","['Gloria Sanchez Productions', 'Killer Films', 'MountainA', 'Taylor & Dodge', 'Project Infinity']",https://letterboxd.com//film/may-december/
The Old Oak,2023,Ken Loach,['Drama'],nan,3.5,113,"['Belgium', 'France', 'UK']",English,"['English', 'Arabic']",13395,4431,3219,"['Dave Turner', 'Ebla Mari', 'Claire Rodgerson', 'Trevor Fox', 'Chris McGlade', 'Col Tait', 'Jordan Louis', 'Joe Armstrong', 'Chris Gotts', 'Andy Dawson', 'Maxie Peters', 'Neil Leiper', 'Debbie Honeywood', 'Rob Kirtley', 'Chris Braxton', 'Andrea Johnson', 'Lloyd Mullings', 'Alex White', 'Rhys Mcgowan', 'Reuben Bainbridge', 'Laura Lee Daly', 'Lorenzo McGovern Zaini', 'Abigail Lawson', 'Jen Patterson', 'Jake Jarratt']","['Sixteen Films', 'Why Not Productions', 'StudioCanal', 'BBC Film', 'Les Films du Fleuve', 'Goodfellas']",https://letterboxd.com//film/the-old-oak/
Banel & Adama,2023,Ramata-Toulaye Sy,['Drama'],nan,3.28,87,"['France', 'Mali', 'Senegal']","Fula, Fulah, Pulaar, Pular","['Fula, Fulah, Pulaar, Pular']",1837,1463,330,"['Khady Mane', 'Mamadou Diallo', 'Binta Racine Sy', 'Moussa Sow', 'Ndiabel Diallo', 'Oumar Samba Dia', 'Amadou Ndiaye']","['La Chauve Souris', 'ARTE France Cinéma', 'Tandem', 'Take Shelter', 'Astou Films', 'DS Productions', 'Canal+ International']",https://letterboxd.com//film/banel-adama/
Perfect Days,2023,Wim Wenders,['Drama'],4,4.13,125,"['Germany', 'Japan']",Japanese,"['Japanese', 'English']",17151,11321,7873,"['Koji Yakusho', 'Tokio Emoto', 'Arisa Nakano', 'Aoi Yamada', 'Yumi Asou', 'Sayuri Ishikawa', 'Tomokazu Miura', 'Min Tanaka', 'Masahiro Koumoto', 'Daigo Matsui', 'Tateto Serizawa', 'Tamae Ando', 'Morio Agata', 'Morooka Moro', 'Motomi Makiguchi', 'Mijika Nagai']","['Master Mind Limited', 'Wenders Images']",https://letterboxd.com//film/perfect-days-2023/
Firebrand,2023,Karim Aïnouz,"['Drama', 'History']",nan,3.18,120,"['UK', 'USA']",English,['English'],1375,2118,199,"['Alicia Vikander', 'Jude Law', 'Simon Russell Beale', 'Erin Doherty', 'Sam Riley', 'Eddie Marsan', 'Ruby Bentall', 'Bryony Hannah', 'Maia Jemmett', 'Patsy Ferran', 'Junia Rees', 'Andy M Milligan', 'Edward Harrison', 'Mina Andala', 'Paul Tinto', 'Frank Howell', 'Ashleigh Reynolds', 'Ian Drysdale', 'Julian Clapton', 'David Vickers', 'Joseph Aston Grant', 'Dan Fallon', 'Paul Candelent', 'Mark de Freitas', 'Darryl Lane', 'Callum Sked', 'Mia Threapleton']","['Magnolia Mae Films', 'Brouhaha Entertainment', 'FilmNation Entertainment', 'MBK Productions']",https://letterboxd.com//film/firebrand-2023/
Black Flies,2023,Jean-Stéphane Sauvaire,"['Thriller', 'Drama']",nan,3.05,120,['USA'],English,['English'],1013,926,130,"['Tye Sheridan', 'Sean Penn', 'Katherine Waterston', 'Michael Pitt', 'Kali Reis', 'Mike Tyson', 'Onie Maceo Watlington', 'Raquel Nave', 'Alisa Mironova', 'Robert Oppel', 'Donna Glaesener', 'Decater James', 'Charrisse Matthews', 'Kareemeh Odeh', 'Jagan Badvel']","['Sculptor Media', 'Projected Picture Works', 'wiip', 'Open Road Films', 'AZA Films', 'Two and Two Pictures']",https://letterboxd.com//film/black-flies/
Homecoming,2023,Catherine Corsini,['Drama'],nan,3.28,110,['France'],French,['French'],1575,985,245,"['Aissatou Diallo Sagna', 'Esther Gohourou', 'Suzy Bemba', 'Lomane de Dietrich', 'Cédric Appietto', 'Marie-Ange Geronimi', 'Harold Orsoni', 'Jean Michelangeli', 'Virginie Ledoyen', 'Denis Podalydès', 'Antoine Ducros', 'Albane Ducros', 'Aminata Salay Adamou', 'Amadu Djau', 'Lisandru Savelli']","['CHAZ Productions', 'Le Pacte', 'France 3 Cinéma']",https://letterboxd.com//film/homecoming-2023/
Youth (Spring),2023,Wang Bing,['Documentary'],nan,3.67,212,"['France', 'Luxembourg', 'Netherlands']",Chinese,['Chinese'],2174,1922,587,nan,"['Yisha Production', 'Gladys Glover', 'House on Fire', 'Chinese Shadows', 'Les Films Fauves']",https://letterboxd.com//film/youth-spring/
Nostalgia,2022,Mario Martone,"['Drama', 'Crime']",nan,3.33,117,"['France', 'Italy']",Italian,['Italian'],7795,2417,1375,"['Pierfrancesco Favino', 'Francesco Di Leva', 'Tommaso Ragno', 'Aurora Quattrocchi', 'Sofia Essaïdi', 'Nello Mascia', 'Emanuele Palumbo', 'Artem Tkachuk', 'Salvatore Striano', 'Virginia Apicella', 'Daniela Ioia', 'Luciana Zazzera', ""Giuseppe D'Ambrosio"", 'Ciro Oliva', 'Angela Esposito', 'Anna Marigliano', 'Giusy Freccia', 'Francesco Maria Tommasino', 'Lia Gusein-Zadé', 'Raluca Boca', 'Carmine Esposito', 'Gianna Mosca', 'Ciro Ferrigno', 'Salvatore Esposito', 'Santa Esposito', 'Michele Frallicciardi', 'Salvatore Merola', 'Nunzia Patierno', 'Katia Suma', 'Jessica Suma', 'Francesco Saverio di Costanzo', 'Carmine Aprile', 'Anna Liguori', 'Rita Casolaro', 'Ahmied Mherb', 'Domenico Di Guida', 'Francesco Moglie', 'Simone Cuomo', 'Tiziana Angeloni']","['Picomedia', 'Mad Entertainment', 'Rosebud Entertainment Pictures', 'MiC', 'Medusa Film']",https://letterboxd.com//film/nostalgia-2022-1/
Pacifiction,2022,Albert Serra,"['Thriller', 'Drama']",nan,3.61,166,"['France', 'French Polynesia', 'Germany', 'Portugal', 'Spain']",French,"['French', 'English', 'Portuguese', 'Tahitian']",15900,7572,4398,"['Benoît Magimel', 'Pahoa Mahagafanau', 'Marc Susini', 'Matahi Pambrun', 'Sergi López', 'Montse Triola', 'Michael Vautor', 'Cécile Guilbert', 'Lluís Serrat', 'Mike Landscape', 'Cyrus Arai', 'Mareva Wong', 'Baptiste Pinteaux', 'Laurent Brissonnaud', 'Florence Garneau', 'Práxedes de Vilallonga', 'Jean-Philippe Tahitua', 'Hinatea Boosie', 'Eva Bourgeois', 'Lorenzo Avve', 'Alexandre Melo']","['Andergraun Films', 'Idéale Audience', 'Rosa Filmes', 'ARTE France Cinéma', 'Lupa Film', 'Tamtam Film', 'BR', 'Archipel Production']",https://letterboxd.com//film/pacifiction/
Mother and Son,2022,Léonor Serraille,['Drama'],nan,3.4,116,['France'],French,['French'],1748,973,328,"['Annabelle Lengronne', 'Stéphane Bak', 'Kenzo Sambin', 'Ahmed Sylla', 'Sidy Fofana', 'Milan Doucansi', 'Jean-Christophe Folly', 'Majd Mastoura', 'Pascal Rénéric', 'Thibaut Évrard', 'Angelina Woreth', 'Manon Clavel', 'Laetitia Dosch', 'Saül Benchetrit', 'Rafaël Rajabian', 'Aliocha Delmotte', 'Serena Goy de Peretti']","['Blue Monday Productions', 'France 3 Cinéma']",https://letterboxd.com//film/mother-and-son-2022/
The Eight Mountains,2022,"Felix van Groeningen, Charlotte Vandermeersch",['Drama'],nan,3.98,147,"['Belgium', 'France', 'Italy', 'UK']",Italian,"['Italian', 'English', 'Nepali']",35485,9293,11970,"['Luca Marinelli', 'Alessandro Borghi', 'Lupo Barbiero', 'Cristiano Sassella', 'Elisabetta Mazzullo', 'Andrea Palma', 'Surakshya Panta', 'Elena Lietti', 'Filippo Timi', 'Elisa Zanotto', 'Chiara Jorrioz', 'Gualtiero Burzi', 'Francesco Palombelli', 'Paolo Cognetti', 'Benedetto Patruno', 'Iris Barbiero', 'Alex Sassella', 'Fiammetta Olivieri', 'Adriano Favre', 'Leandro Gago', 'Daniela De Pellegrin', 'Aurora Pernici', 'Ermes Piffer', 'Cheche Gurung', 'Wangdi Gurung', 'Eric Olsen', 'Dagny Mjos', 'Marco Spataro', 'Stefano Percino', 'Emrik Favre']","['Pyramide Productions', 'Vision Distribution', 'Menuet', 'Wildside', 'Elastic Film', 'Rufus']",https://letterboxd.com//film/the-eight-mountains/
Armageddon Time,2022,James Gray,['Drama'],nan,3.38,114,"['Brazil', 'USA']",English,['English'],56117,22888,12183,"['Banks Repeta', 'Anne Hathaway', 'Jeremy Strong', 'Jaylin Webb', 'Anthony Hopkins', 'Ryan Sell', 'Andrew Polk', 'Tovah Feldshuh', 'Marcia Haufrecht', 'Teddy Coluca', 'Richard Bekins', 'Dane West', 'Landon James Forlenza', 'John Diehl', 'Jessica Chastain', 'Domenick Lombardozzi', 'Lizbeth MacKay', 'Jacob Mackinnon', 'Jeb Kreager', 'Marcia Jean Kurtz', 'Lauren Sharpe', 'John Dinello', 'Gerald Jones', 'Griffin Wallace Henkel', 'Jen Weissenberg', 'Amy Warren', 'Douglas Crosby', 'Eva Jette Putrello', 'Marjorie Johnson', 'Lauren Yaffe', 'Dupree Francois Porter', 'Stephanie Groves', 'Oona Girton-Marshall', 'Ian Hernandez-Oropeza', 'Aidan Christman', 'Jude Washock', 'Skyler Wenger', 'Psalm Mitchell', 'Jack Parrish', 'Stephanie Aguinaldo', 'Diamond Washington']","['RT Features', 'Spacemaker Productions', 'Keep Your Head Productions', 'MadRiver Pictures', 'Focus Features']",https://letterboxd.com//film/armageddon-time/
Cairo Conspiracy,2022,Tarik Saleh,"['Drama', 'Thriller']",nan,3.5,121,"['Denmark', 'Finland', 'France', 'Sweden']",Arabic,['Arabic'],15749,4583,2996,"['Tawfeek Barhom', 'Fares Fares', 'Mohammad Bakri', 'Makram J. Khoury', 'Mehdi Dehbi', 'Younes Medhat', 'Yunus Albayrak', 'Sherwan Haji', 'Amr Mosad', 'Hassan El Sayed', 'Zain Alabdin A. Fallatah', 'Youssef Salama Zeki', 'Ahmed Laissaoui', 'Mouloud Ayad', 'Ayman Fathy', 'Okan Bozkuş', 'Moe Ayoub', 'Ramzi Choukair', 'Jalal Altawil']","['Atmo Production', 'Memento Films Production', 'Bufo', 'ARTE France Cinéma', 'Final Cut for Real', 'Mikael Ahlström Films', 'Haymaker', 'Film i Väst', 'SVT']",https://letterboxd.com//film/cairo-conspiracy/
Broker,2022,Hirokazu Kore-eda,"['Drama', 'Crime', 'Comedy']",4,3.78,129,['South Korea'],Korean,['Korean'],84354,26882,24681,"['Song Kang-ho', 'Gang Dong-won', 'Bae Doona', 'IU', 'Lee Joo-young', 'Im Seung-soo', 'Park Ji-yong', 'Song Sae-byuk', 'Kim Sun-young', 'Lee Mu-saeng', 'Lee Dong-hwi', 'Kim Sae-byuk', 'Baek Hyun-jin', 'Oh Hee-jun', 'Ryu Kyung-soo', 'Jong Ho', 'Seong Yu-bin', 'Park Kang-seop', 'Kim Keum-soon', 'Kang Gil-woo', 'Kim Yae-eun', 'Park Hae-jun', 'Jung Ji-woo', 'Ryu Ji-an', 'Yun Seul', 'Jeong Jong-yeol', 'Choi Hee-jin', 'Lee Do-goon', 'Kim Do-yeon', 'Choi Hyo-sang', 'Lee Ga-kyung', 'Yang Gwon-seok', 'Lee Doo-seok', 'Jung Hyuk', 'Na Gyeong-cheol', 'Jung Ah-young', 'Lee Ye-seo', 'Choi Yoon-woo', 'Kim Joo-Eun']","['Zip Cinema', 'CJ Entertainment']",https://letterboxd.com//film/broker-2022/
Brother and Sister,2022,Arnaud Desplechin,['Drama'],nan,2.65,108,['France'],French,"['French', 'Hebrew (modern)']",3695,1384,307,"['Melvil Poupaud', 'Marion Cotillard', 'Golshifteh Farahani', 'Cosmina Stratan', 'Max Baissette de Malglaive', 'Benjamin Siksou', 'Patrick Timsit', 'Joël Cudennec', 'Nicolette Picheral', 'Francis Leplay', 'Clément Hervieu-Léger', 'Alexandre Pavloff', 'Claire Duburcq', 'Jonathan Mallard', 'Salif Cissé', 'Sipan Mouradian', 'Jeremy Zylberberg', 'Jean Teixera', 'Gilbert Gilles', 'Lorena Sala', 'Dante Six Bonamour', 'Louise Dupuydt Lutz', 'Nino Ferlay', 'Christophe Hennart', 'Rui-Mickael Dias', 'Stéphane Duquenoy', 'Willy Lesaffre', 'Soazic Coubert', 'Elléonore Lemattre', 'Céline Brunelle', 'Éric Caruso', 'Ulysse Bosshard', 'Karine Ronse', 'Roland Franz Depauw', 'Christophe Doutriaux', 'Annie Robert', 'Sylvie Moreau', 'Amaury Roussel', 'Mélanie Derekeneire', 'Gauthier Magnette', 'Cécile Benredouane', 'Samia Lakrouf', 'Fatiha Saidi', 'Radija Belfilali', 'Maryse Plesel', 'Samia Meouak', 'Betty Cartoux']","['Why Not Productions', 'CNC', 'Canal+', 'Pictanovo', 'Ciné+']",https://letterboxd.com//film/brother-and-sister-2022/
